,experiment_accession,study_accession,age,missing_metadata,cell_line,differentiated
548,SRX1640692,SRP071965,14,False,False,False
549,SRX1356474,SRP065022,14,False,False,False
550,SRX1299076,SRP064378,14,False,False,False
551,SRX1640438,SRP071965,14,False,False,False
552,SRX1640622,SRP071965,14,False,False,False
553,SRX1640620,SRP071965,14,False,False,False
554,SRX1640689,SRP071965,14,False,False,False
555,SRX1640476,SRP071965,14,False,False,False
556,SRX1640630,SRP071965,14,False,False,False
557,SRX1640483,SRP071965,14,False,False,False
558,SRX1640439,SRP071965,14,False,False,False
559,SRX1640636,SRP071965,14,False,False,False
560,SRX1640434,SRP071965,14,False,False,False
561,SRX1640690,SRP071965,14,False,False,False
562,SRX1640637,SRP071965,14,False,False,False
563,SRX1640486,SRP071965,14,False,False,False
564,SRX1640619,SRP071965,14,False,False,False
565,SRX2018841,SRP081605,14,False,False,False
566,SRX2018923,SRP081605,14,False,False,False
567,SRX2018835,SRP081605,14,False,False,False
568,SRX1640470,SRP071965,14,False,False,False
569,SRX1640612,SRP071965,14,False,False,False
570,SRX1640678,SRP071965,14,False,False,False
571,SRX1640618,SRP071965,14,False,False,False
572,SRX2018880,SRP081605,14,False,False,False
573,SRX2018942,SRP081605,14,False,False,False
574,SRX1640473,SRP071965,14,False,False,False
575,SRX1640471,SRP071965,14,False,False,False
576,SRX1640450,SRP071965,14,False,False,False
577,SRX1640745,SRP071965,14,False,False,False
578,SRX1640451,SRP071965,14,False,False,False
579,SRX1640472,SRP071965,14,False,False,False
580,SRX1640449,SRP071965,14,False,False,False
581,SRX1640468,SRP071965,15,False,False,False
582,SRX2018956,SRP081605,15,False,False,False
583,SRX2019231,SRP081654,15,False,False,False
584,SRX1640491,SRP071965,15,False,False,False
585,SRX2018875,SRP081605,15,False,False,False
586,SRX2018958,SRP081605,15,False,False,False
587,SRX1640575,SRP071965,15,False,False,False
588,SRX1640453,SRP071965,15,False,False,False
589,SRX1640569,SRP071965,15,False,False,False
590,SRX1640469,SRP071965,15,False,False,False
591,SRX2018787,SRP081605,15,False,False,False
592,SRX1640676,SRP071965,15,False,False,False
593,SRX1640462,SRP071965,15,False,False,False
594,SRX1640479,SRP071965,15,False,False,False
595,SRX2019206,SRP081654,15,False,False,False
596,SRX2018907,SRP081605,15,False,False,False
597,SRX2018815,SRP081605,15,False,False,False
598,SRX1640611,SRP071965,15,False,False,False
599,SRX1640746,SRP071965,15,False,False,False
600,SRX1640418,SRP071965,15,False,False,False
601,SRX1640463,SRP071965,15,False,False,False
602,SRX1640493,SRP071965,15,False,False,False
